donor,best PCE
38_814_111111,17.522993
121_814_111111,17.52242
905_6_111000,17.519469
934_384_100111,17.518514
905_814_111111,17.518424
959_814_111111,17.517926
22_814_111111,17.511877
577_526_111011,17.511801
121_748_111101,17.511126
934_527_001111,17.507705
100_612_101111,17.501757
22_145_001100,17.500642
383_686_101111,17.500286
100_918_110011,17.49628
1050_618_100111,17.495542
121_504_101111,17.495105
121_861_101111,17.494816
1118_61_010000,17.493784
121_384_110001,17.492222
210_6_100110,17.491945
121_145_101111,17.491024
934_145_100111,17.48869
121_519_110110,17.488561
121_6_010101,17.486687
121_6_110100,17.486488
121_6_001101,17.481935
184_1183_111011,17.480409
905_6_000111,17.478179
1050_255_110011,17.477515
959_61_001001,17.473743
1050_962_100101,17.472421
1024_543_111100,17.470263
1194_17_001111,17.468333
121_472_110001,17.465847
184_938_111101,17.46539
383_1085_101111,17.464664
1050_751_001111,17.463277
1050_195_111001,17.462828
22_145_110001,17.462338
1024_189_110011,17.460531
959_145_111011,17.460401
1050_61_000000,17.460278
1050_99_000000,17.460277
579_1091_110011,17.456523
